date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:45	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22648c837f-24a3%22	https://chandrago.github.io/robots.txt		(from )
12:26:45	57356/57356	---M-Z	200	added ('OK')	text/html	etag:W/%226330107e-e00c%22	https://chandrago.github.io/	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/index.html	(from )
12:26:45	2467/2467	---M--	200	added ('OK')	image/png	etag:%226330107e-9a3%22	https://chandrago.github.io/favicon.png	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/favicon.png	(from https://chandrago.github.io/)
12:26:45	585/585	---M-Z	200	added ('OK')	text/css	etag:W/%226330107e-249%22	https://chandrago.github.io/css/reset.css	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/reset.css	(from https://chandrago.github.io/)
12:26:45	28977/28977	---M-Z	200	added ('OK')	text/css	etag:W/%226330107e-7131%22	https://chandrago.github.io/css/bootstrap-grid.min.css	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/bootstrap-grid.min.css	(from https://chandrago.github.io/)
12:26:46	2924/2924	---M-Z	200	added ('OK')	text/css	etag:W/%226330107e-b6c%22	https://chandrago.github.io/css/owl.carousel.css	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/owl.carousel.css	(from https://chandrago.github.io/)
12:26:46	5810/5810	---M-Z	200	added ('OK')	text/css	etag:W/%226330107e-16b2%22	https://chandrago.github.io/css/magnific-popup.css	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/magnific-popup.css	(from https://chandrago.github.io/)
12:26:46	49255/49255	---M-Z	200	added ('OK')	text/css	etag:W/%226330107e-c067%22	https://chandrago.github.io/css/main.css	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/main.css	(from https://chandrago.github.io/)
12:26:47	37742/37742	---M-Z	200	added ('OK')	text/css	etag:W/%226330107e-936e%22	https://chandrago.github.io/css/animations.css	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/css/animations.css	(from https://chandrago.github.io/)
12:26:47	1026917/1026917	---M--	200	added ('OK')	image/jpeg	etag:%226330107e-fab65%22	https://chandrago.github.io/img/main_bg_1.jpg	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/img/main_bg_1.jpg	(from https://chandrago.github.io/)
12:26:47	57356/57356	---M-Z	200	added ('OK')	text/html	etag:W/%226330107e-e00c%22	https://chandrago.github.io/index.html	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/index-2.html	(from https://chandrago.github.io/)
12:26:47	57373/57373	---M-Z	200	added ('OK')	text/html	etag:W/%226330107e-e01d%22	https://chandrago.github.io/index2.html	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/index2.html	(from https://chandrago.github.io/)
12:26:48	22072/22072	---M--	200	added ('OK')	image/jpeg	etag:%226330107e-5638%22	https://chandrago.github.io/img/main_photo.jpg	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/img/main_photo.jpg	(from https://chandrago.github.io/)
12:26:48	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22648c837f-24a3%22	https://chandrago.github.io/Chandra%20Dwi%20Hafiluddin.pdf	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/Chandra%20Dwi%20Hafiluddin.pdf	(from https://chandrago.github.io/)
12:26:48	305060/305060	---M--	200	added ('OK')	image/jpeg	etag:%226330107e-4a7a4%22	https://chandrago.github.io/img/main_photo_1.jpg	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/img/main_photo_1.jpg	(from https://chandrago.github.io/)
12:26:49	36516/36516	---M--	200	added ('OK')	image/jpeg	etag:%226330107e-8ea4%22	https://chandrago.github.io/img/testimonials/testimonial-1.jpg	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/img/testimonials/testimonial-1.jpg	(from https://chandrago.github.io/)
12:26:49	47056/47056	---M--	200	added ('OK')	image/jpeg	etag:%226330107e-b7d0%22	https://chandrago.github.io/img/testimonials/testimonial-2.jpg	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/img/testimonials/testimonial-2.jpg	(from https://chandrago.github.io/)
12:26:49	33665/33665	---M--	200	added ('OK')	image/jpeg	etag:%226330107e-8381%22	https://chandrago.github.io/img/testimonials/testimonial-3.jpg	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/img/testimonials/testimonial-3.jpg	(from https://chandrago.github.io/)
12:26:49	226837/226837	---M--	200	added ('OK')	image/jpeg	etag:%226330107e-37615%22	https://chandrago.github.io/img/sertifikat/sertifikat%201.jpg	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/img/sertifikat/sertifikat%201.jpg	(from https://chandrago.github.io/)
12:26:50	198473/198473	---M--	200	added ('OK')	image/jpeg	etag:%226330107e-30749%22	https://chandrago.github.io/img/sertifikat/sertifikat%202.jpg	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/img/sertifikat/sertifikat%202.jpg	(from https://chandrago.github.io/)
12:26:50	213227/213227	---M--	200	added ('OK')	image/jpeg	etag:%226330107e-340eb%22	https://chandrago.github.io/img/sertifikat/sertifikat%203.jpg	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/img/sertifikat/sertifikat%203.jpg	(from https://chandrago.github.io/)
12:26:51	258861/258861	---M--	200	added ('OK')	image/jpeg	etag:%226330107e-3f32d%22	https://chandrago.github.io/img/sertifikat/sertifikat%205.jpg	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/img/sertifikat/sertifikat%205.jpg	(from https://chandrago.github.io/)
12:26:51	1195021/1195021	---M--	200	added ('OK')	image/png	etag:%226330107e-123c0d%22	https://chandrago.github.io/img/sertifikat/sertifikat%204.png	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/img/sertifikat/sertifikat%204.png	(from https://chandrago.github.io/)
12:26:52	1005656/1005656	---M--	200	added ('OK')	image/png	etag:%226330107e-f5858%22	https://chandrago.github.io/img/sertifikat/sertifikat%206.png	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/img/sertifikat/sertifikat%206.png	(from https://chandrago.github.io/)
12:26:52	522644/522644	---M--	200	added ('OK')	image/jpeg	etag:%226330107e-7f994%22	https://chandrago.github.io/img/sertifikat/sertifikat%207.jpg	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/img/sertifikat/sertifikat%207.jpg	(from https://chandrago.github.io/)
12:26:53	78166/78166	---M--	200	added ('OK')	image/jpeg	etag:%226330107e-13156%22	https://chandrago.github.io/img/portfolio/manipulasi.jpg	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/img/portfolio/manipulasi.jpg	(from https://chandrago.github.io/)
12:26:56	85514/85514	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Sep%202022%2012:26:26%20GMT	https://i.ibb.co/BwyPTfR/Cara-Upload-File-HTML-Domain-Gratis-Selamanya.jpg	C:/My%20Web%20Sites/CV%20Project/i.ibb.co/BwyPTfR/Cara-Upload-File-HTML-Domain-Gratis-Selamanya.jpg	(from https://chandrago.github.io/)
12:26:57	86855/86855	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Sep%202022%2012:42:58%20GMT	https://i.ibb.co/8zRpMHv/Screenshot-1.png	C:/My%20Web%20Sites/CV%20Project/i.ibb.co/8zRpMHv/Screenshot-1.png	(from https://chandrago.github.io/)
12:26:58	98855/98855	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Sep%202022%2012:50:30%20GMT	https://i.ibb.co/fpGRNg2/image.png	C:/My%20Web%20Sites/CV%20Project/i.ibb.co/fpGRNg2/image.png	(from https://chandrago.github.io/)
